Circuito,Anno,Scuderia,Pilota,Nazionalità,Posizione Finale
San Marino Grand Prix,2002,Sauber,Heidfeld,German,10
San Marino Grand Prix,2002,Minardi,Webber,Australian,11
San Marino Grand Prix,2002,Arrows,Bernoldi,Brazilian,12
San Marino Grand Prix,2002,Jaguar,Irvine,British,13
San Marino Grand Prix,2002,McLaren,Räikkönen,Finnish,14
San Marino Grand Prix,2002,BAR,Panis,French,15
San Marino Grand Prix,2002,Jaguar,de la Rosa,Spanish,16
San Marino Grand Prix,2002,Toyota,Salo,Finnish,17
San Marino Grand Prix,2002,Arrows,Frentzen,German,18
San Marino Grand Prix,2002,Jordan,Fisichella,Italian,19
San Marino Grand Prix,2002,Jordan,Sato,Japanese,20
San Marino Grand Prix,2002,Toyota,McNish,British,21
San Marino Grand Prix,2002,Minardi,Yoong,Malaysian,22
Spanish Grand Prix,2002,Ferrari,Schumacher,German,1
Spanish Grand Prix,2002,Williams,Pablo Montoya,Colombian,2
Spanish Grand Prix,2002,McLaren,Coulthard,British,3
Spanish Grand Prix,2002,Sauber,Heidfeld,German,4
Spanish Grand Prix,2002,Sauber,Massa,Brazilian,5
Spanish Grand Prix,2002,Arrows,Frentzen,German,6
Spanish Grand Prix,2002,BAR,Villeneuve,Canadian,7
Spanish Grand Prix,2002,Toyota,McNish,British,8
Spanish Grand Prix,2002,Toyota,Salo,Finnish,9
Spanish Grand Prix,2002,Renault,Trulli,Italian,10
Spanish Grand Prix,2002,Williams,Schumacher,German,11
Spanish Grand Prix,2002,Renault,Button,British,12
Spanish Grand Prix,2002,BAR,Panis,French,13
Spanish Grand Prix,2002,Jaguar,Irvine,British,14
Spanish Grand Prix,2002,Arrows,Bernoldi,Brazilian,15
Spanish Grand Prix,2002,Jordan,Sato,Japanese,16
Spanish Grand Prix,2002,Jordan,Fisichella,Italian,17
Spanish Grand Prix,2002,McLaren,Räikkönen,Finnish,18
Spanish Grand Prix,2002,Jaguar,de la Rosa,Spanish,19
Spanish Grand Prix,2002,Ferrari,Barrichello,Brazilian,20
Spanish Grand Prix,2002,Minardi,Webber,Australian,21
Spanish Grand Prix,2002,Minardi,Yoong,Malaysian,22
Austrian Grand Prix,2002,Ferrari,Schumacher,German,1
Austrian Grand Prix,2002,Ferrari,Barrichello,Brazilian,2
Austrian Grand Prix,2002,Williams,Pablo Montoya,Colombian,3
Austrian Grand Prix,2002,Williams,Schumacher,German,4
Austrian Grand Prix,2002,Jordan,Fisichella,Italian,5
Austrian Grand Prix,2002,McLaren,Coulthard,British,6
Austrian Grand Prix,2002,Renault,Button,British,7
Austrian Grand Prix,2002,Toyota,Salo,Finnish,8
Austrian Grand Prix,2002,Toyota,McNish,British,9
Austrian Grand Prix,2002,BAR,Villeneuve,Canadian,10
Austrian Grand Prix,2002,Arrows,Frentzen,German,11
Austrian Grand Prix,2002,Minardi,Webber,Australian,12
Austrian Grand Prix,2002,Renault,Trulli,Italian,13
Austrian Grand Prix,2002,Minardi,Yoong,Malaysian,14
Austrian Grand Prix,2002,Jaguar,Irvine,British,15
Austrian Grand Prix,2002,Sauber,Heidfeld,German,16
Austrian Grand Prix,2002,Jordan,Sato,Japanese,17
Austrian Grand Prix,2002,BAR,Panis,French,18
Austrian Grand Prix,2002,Sauber,Massa,Brazilian,19
Austrian Grand Prix,2002,McLaren,Räikkönen,Finnish,20
Austrian Grand Prix,2002,Arrows,Bernoldi,Brazilian,21
Austrian Grand Prix,2002,Jaguar,de la Rosa,Spanish,22
Monaco Grand Prix,2002,McLaren,Coulthard,British,1
Monaco Grand Prix,2002,Ferrari,Schumacher,German,2
Monaco Grand Prix,2002,Williams,Schumacher,German,3
Monaco Grand Prix,2002,Renault,Trulli,Italian,4
Monaco Grand Prix,2002,Jordan,Fisichella,Italian,5
Monaco Grand Prix,2002,Arrows,Frentzen,German,6
Monaco Grand Prix,2002,Ferrari,Barrichello,Brazilian,7
Monaco Grand Prix,2002,Sauber,Heidfeld,German,8
Monaco Grand Prix,2002,Jaguar,Irvine,British,9
Monaco Grand Prix,2002,Jaguar,de la Rosa,Spanish,10
Monaco Grand Prix,2002,Minardi,Webber,Australian,11
Monaco Grand Prix,2002,Arrows,Bernoldi,Brazilian,12
Monaco Grand Prix,2002,Toyota,Salo,Finnish,13
Monaco Grand Prix,2002,Sauber,Massa,Brazilian,14
Monaco Grand Prix,2002,BAR,Panis,French,15
Monaco Grand Prix,2002,Renault,Button,British,16
Monaco Grand Prix,2002,Williams,Pablo Montoya,Colombian,17
Monaco Grand Prix,2002,BAR,Villeneuve,Canadian,18
Monaco Grand Prix,2002,McLaren,Räikkönen,Finnish,19
Monaco Grand Prix,2002,Minardi,Yoong,Malaysian,20
Monaco Grand Prix,2002,Jordan,Sato,Japanese,21
Monaco Grand Prix,2002,Toyota,McNish,British,22
Canadian Grand Prix,2002,Ferrari,Schumacher,German,1
Canadian Grand Prix,2002,McLaren,Coulthard,British,2
Canadian Grand Prix,2002,Ferrari,Barrichello,Brazilian,3
Canadian Grand Prix,2002,McLaren,Räikkönen,Finnish,4
Canadian Grand Prix,2002,Jordan,Fisichella,Italian,5
Canadian Grand Prix,2002,Renault,Trulli,Italian,6
Canadian Grand Prix,2002,Williams,Schumacher,German,7
Canadian Grand Prix,2002,BAR,Panis,French,8
Canadian Grand Prix,2002,Sauber,Massa,Brazilian,9
Canadian Grand Prix,2002,Jordan,Sato,Japanese,10
Canadian Grand Prix,2002,Minardi,Webber,Australian,11
Canadian Grand Prix,2002,Sauber,Heidfeld,German,12
Canadian Grand Prix,2002,Arrows,Frentzen,German,13
Canadian Grand Prix,2002,Minardi,Yoong,Malaysian,14
Canadian Grand Prix,2002,Renault,Button,British,15
Canadian Grand Prix,2002,Williams,Pablo Montoya,Colombian,16
Canadian Grand Prix,2002,Toyota,McNish,British,17
Canadian Grand Prix,2002,Jaguar,Irvine,British,18
Canadian Grand Prix,2002,Toyota,Salo,Finnish,19
Canadian Grand Prix,2002,Jaguar,de la Rosa,Spanish,20
Canadian Grand Prix,2002,Arrows,Bernoldi,Brazilian,21
Canadian Grand Prix,2002,BAR,Villeneuve,Canadian,22
European Grand Prix,2002,Ferrari,Barrichello,Brazilian,1
European Grand Prix,2002,Ferrari,Schumacher,German,2
European Grand Prix,2002,McLaren,Räikkönen,Finnish,3
European Grand Prix,2002,Williams,Schumacher,German,4
European Grand Prix,2002,Renault,Button,British,5
European Grand Prix,2002,Sauber,Massa,Brazilian,6
European Grand Prix,2002,Sauber,Heidfeld,German,7
European Grand Prix,2002,Renault,Trulli,Italian,8
European Grand Prix,2002,BAR,Panis,French,9
European Grand Prix,2002,Jaguar,de la Rosa,Spanish,10
European Grand Prix,2002,Arrows,Bernoldi,Brazilian,11
European Grand Prix,2002,BAR,Villeneuve,Canadian,12
European Grand Prix,2002,Arrows,Frentzen,German,13
European Grand Prix,2002,Toyota,McNish,British,14
European Grand Prix,2002,Minardi,Webber,Australian,15
European Grand Prix,2002,Jordan,Sato,Japanese,16
European Grand Prix,2002,Toyota,Salo,Finnish,17
European Grand Prix,2002,Minardi,Yoong,Malaysian,18
European Grand Prix,2002,Jaguar,Irvine,British,19
European Grand Prix,2002,Williams,Pablo Montoya,Colombian,20
European Grand Prix,2002,McLaren,Coulthard,British,21
European Grand Prix,2002,Jordan,Fisichella,Italian,22
British Grand Prix,2002,Ferrari,Schumacher,German,1
British Grand Prix,2002,Ferrari,Barrichello,Brazilian,2
British Grand Prix,2002,Williams,Pablo Montoya,Colombian,3
British Grand Prix,2002,BAR,Villeneuve,Canadian,4
British Grand Prix,2002,BAR,Panis,French,5
British Grand Prix,2002,Sauber,Heidfeld,German,6
British Grand Prix,2002,Jordan,Fisichella,Italian,7
British Grand Prix,2002,Williams,Schumacher,German,8
British Grand Prix,2002,Sauber,Massa,Brazilian,9
British Grand Prix,2002,McLaren,Coulthard,British,10
British Grand Prix,2002,Jaguar,de la Rosa,Spanish,11
British Grand Prix,2002,Renault,Button,British,12
British Grand Prix,2002,Jordan,Sato,Japanese,13
British Grand Prix,2002,McLaren,Räikkönen,Finnish,14
British Grand Prix,2002,Renault,Trulli,Italian,15
British Grand Prix,2002,Arrows,Bernoldi,Brazilian,16
British Grand Prix,2002,Jaguar,Irvine,British,17
British Grand Prix,2002,Arrows,Frentzen,German,18
British Grand Prix,2002,Toyota,Salo,Finnish,19
British Grand Prix,2002,Minardi,Webber,Australian,20
British Grand Prix,2002,Toyota,McNish,British,21
French Grand Prix,2002,Ferrari,Schumacher,German,1
French Grand Prix,2002,McLaren,Räikkönen,Finnish,2
French Grand Prix,2002,McLaren,Coulthard,British,3
French Grand Prix,2002,Williams,Pablo Montoya,Colombian,4
French Grand Prix,2002,Williams,Schumacher,German,5
French Grand Prix,2002,Renault,Button,British,6
French Grand Prix,2002,Sauber,Heidfeld,German,7
French Grand Prix,2002,Minardi,Webber,Australian,8
French Grand Prix,2002,Jaguar,de la Rosa,Spanish,9
French Grand Prix,2002,Minardi,Yoong,Malaysian,10
French Grand Prix,2002,Toyota,McNish,British,11
French Grand Prix,2002,Jaguar,Irvine,British,12
French Grand Prix,2002,Renault,Trulli,Italian,13
French Grand Prix,2002,Sauber,Massa,Brazilian,14
French Grand Prix,2002,Toyota,Salo,Finnish,15
French Grand Prix,2002,BAR,Villeneuve,Canadian,16
French Grand Prix,2002,BAR,Panis,French,17
French Grand Prix,2002,Jordan,Sato,Japanese,18
French Grand Prix,2002,Ferrari,Barrichello,Brazilian,19
French Grand Prix,2002,Arrows,Frentzen,German,20
French Grand Prix,2002,Arrows,Bernoldi,Brazilian,21
French Grand Prix,2002,Jordan,Fisichella,Italian,22
German Grand Prix,2002,Ferrari,Schumacher,German,1
German Grand Prix,2002,Williams,Pablo Montoya,Colombian,2
German Grand Prix,2002,Williams,Schumacher,German,3
German Grand Prix,2002,Ferrari,Barrichello,Brazilian,4
German Grand Prix,2002,McLaren,Coulthard,British,5
German Grand Prix,2002,Sauber,Heidfeld,German,6
German Grand Prix,2002,Sauber,Massa,Brazilian,7
German Grand Prix,2002,Jordan,Sato,Japanese,8
German Grand Prix,2002,Toyota,Salo,Finnish,9
German Grand Prix,2002,Jordan,Fisichella,Italian,10
German Grand Prix,2002,McLaren,Räikkönen,Finnish,11
German Grand Prix,2002,Jaguar,Irvine,British,12
German Grand Prix,2002,Arrows,Bernoldi,Brazilian,13
German Grand Prix,2002,BAR,Panis,French,14
German Grand Prix,2002,Renault,Trulli,Italian,15
German Grand Prix,2002,BAR,Villeneuve,Canadian,16
German Grand Prix,2002,Renault,Button,British,17
German Grand Prix,2002,Toyota,McNish,British,18
German Grand Prix,2002,Minardi,Webber,Australian,19
German Grand Prix,2002,Arrows,Frentzen,German,20
German Grand Prix,2002,Jaguar,de la Rosa,Spanish,21
Hungarian Grand Prix,2002,Ferrari,Barrichello,Brazilian,1
Hungarian Grand Prix,2002,Ferrari,Schumacher,German,2
Hungarian Grand Prix,2002,Williams,Schumacher,German,3
Hungarian Grand Prix,2002,McLaren,Räikkönen,Finnish,4
Hungarian Grand Prix,2002,McLaren,Coulthard,British,5
Hungarian Grand Prix,2002,Jordan,Fisichella,Italian,6
Hungarian Grand Prix,2002,Sauber,Massa,Brazilian,7
Hungarian Grand Prix,2002,Renault,Trulli,Italian,8
Hungarian Grand Prix,2002,Sauber,Heidfeld,German,9
Hungarian Grand Prix,2002,Jordan,Sato,Japanese,10
Hungarian Grand Prix,2002,Williams,Pablo Montoya,Colombian,11
Hungarian Grand Prix,2002,BAR,Panis,French,12
Hungarian Grand Prix,2002,Jaguar,de la Rosa,Spanish,13
Hungarian Grand Prix,2002,Toyota,McNish,British,14
Hungarian Grand Prix,2002,Toyota,Salo,Finnish,15
Hungarian Grand Prix,2002,Minardi,Webber,Australian,16
Hungarian Grand Prix,2002,Minardi,Davidson,British,17
Hungarian Grand Prix,2002,Renault,Button,British,18
Hungarian Grand Prix,2002,Jaguar,Irvine,British,19
Hungarian Grand Prix,2002,BAR,Villeneuve,Canadian,20
Belgian Grand Prix,2002,Ferrari,Schumacher,German,1
Belgian Grand Prix,2002,Ferrari,Barrichello,Brazilian,2
Belgian Grand Prix,2002,Williams,Pablo Montoya,Colombian,3
Belgian Grand Prix,2002,McLaren,Coulthard,British,4
Belgian Grand Prix,2002,Williams,Schumacher,German,5
Belgian Grand Prix,2002,Jaguar,Irvine,British,6
Belgian Grand Prix,2002,Toyota,Salo,Finnish,7
Belgian Grand Prix,2002,BAR,Villeneuve,Canadian,8
Belgian Grand Prix,2002,Toyota,McNish,British,9
Belgian Grand Prix,2002,Sauber,Heidfeld,German,10
Belgian Grand Prix,2002,Jordan,Sato,Japanese,11
Belgian Grand Prix,2002,BAR,Panis,French,12
Belgian Grand Prix,2002,Jordan,Fisichella,Italian,13
Belgian Grand Prix,2002,Jaguar,de la Rosa,Spanish,14
Belgian Grand Prix,2002,Sauber,Massa,Brazilian,15
Belgian Grand Prix,2002,McLaren,Räikkönen,Finnish,16
Belgian Grand Prix,2002,Renault,Trulli,Italian,17
Belgian Grand Prix,2002,Minardi,Davidson,British,18
Belgian Grand Prix,2002,Renault,Button,British,19
Belgian Grand Prix,2002,Minardi,Webber,Australian,20
Italian Grand Prix,2002,Ferrari,Barrichello,Brazilian,1
Italian Grand Prix,2002,Ferrari,Schumacher,German,2
Italian Grand Prix,2002,Jaguar,Irvine,British,3
Italian Grand Prix,2002,Renault,Trulli,Italian,4
Italian Grand Prix,2002,Renault,Button,British,5
Italian Grand Prix,2002,BAR,Panis,French,6
Italian Grand Prix,2002,McLaren,Coulthard,British,7
Italian Grand Prix,2002,Jordan,Fisichella,Italian,8
Italian Grand Prix,2002,BAR,Villeneuve,Canadian,9
Italian Grand Prix,2002,Sauber,Heidfeld,German,10
Italian Grand Prix,2002,Toyota,Salo,Finnish,11
Italian Grand Prix,2002,Jordan,Sato,Japanese,12
Italian Grand Prix,2002,Minardi,Yoong,Malaysian,13
Italian Grand Prix,2002,Williams,Pablo Montoya,Colombian,14
Italian Grand Prix,2002,McLaren,Räikkönen,Finnish,15
Italian Grand Prix,2002,Minardi,Webber,Australian,16
Italian Grand Prix,2002,Sauber,Massa,Brazilian,17
Italian Grand Prix,2002,Jaguar,de la Rosa,Spanish,18
Italian Grand Prix,2002,Toyota,McNish,British,19
Italian Grand Prix,2002,Williams,Schumacher,German,20
United States Grand Prix,2002,Ferrari,Barrichello,Brazilian,1
United States Grand Prix,2002,Ferrari,Schumacher,German,2
United States Grand Prix,2002,McLaren,Coulthard,British,3
United States Grand Prix,2002,Williams,Pablo Montoya,Colombian,4
United States Grand Prix,2002,Renault,Trulli,Italian,5
United States Grand Prix,2002,BAR,Villeneuve,Canadian,6
United States Grand Prix,2002,Jordan,Fisichella,Italian,7
United States Grand Prix,2002,Renault,Button,British,8
United States Grand Prix,2002,Sauber,Heidfeld,German,9
United States Grand Prix,2002,Jaguar,Irvine,British,10
United States Grand Prix,2002,Jordan,Sato,Japanese,11
United States Grand Prix,2002,BAR,Panis,French,12
United States Grand Prix,2002,Sauber,Frentzen,German,13
United States Grand Prix,2002,Toyota,Salo,Finnish,14
United States Grand Prix,2002,Toyota,McNish,British,15
United States Grand Prix,2002,Williams,Schumacher,German,16
United States Grand Prix,2002,McLaren,Räikkönen,Finnish,17
United States Grand Prix,2002,Minardi,Yoong,Malaysian,18
United States Grand Prix,2002,Minardi,Webber,Australian,19
United States Grand Prix,2002,Jaguar,de la Rosa,Spanish,20
Japanese Grand Prix,2002,Ferrari,Schumacher,German,1
Japanese Grand Prix,2002,Ferrari,Barrichello,Brazilian,2
Japanese Grand Prix,2002,McLaren,Räikkönen,Finnish,3
Japanese Grand Prix,2002,Williams,Pablo Montoya,Colombian,4
Japanese Grand Prix,2002,Jordan,Sato,Japanese,5
Japanese Grand Prix,2002,Renault,Button,British,6
Japanese Grand Prix,2002,Sauber,Heidfeld,German,7
Japanese Grand Prix,2002,Toyota,Salo,Finnish,8
Japanese Grand Prix,2002,Jaguar,Irvine,British,9
Japanese Grand Prix,2002,Minardi,Webber,Australian,10
Japanese Grand Prix,2002,Williams,Schumacher,German,11
Japanese Grand Prix,2002,Jaguar,de la Rosa,Spanish,12
Japanese Grand Prix,2002,Jordan,Fisichella,Italian,13
Japanese Grand Prix,2002,Renault,Trulli,Italian,14
Japanese Grand Prix,2002,BAR,Villeneuve,Canadian,15
Japanese Grand Prix,2002,Minardi,Yoong,Malaysian,16
Japanese Grand Prix,2002,BAR,Panis,French,17
Japanese Grand Prix,2002,McLaren,Coulthard,British,18
Japanese Grand Prix,2002,Sauber,Massa,Brazilian,19
Japanese Grand Prix,2002,Toyota,McNish,British,20
Australian Grand Prix,2001,Ferrari,Schumacher,German,1
Australian Grand Prix,2001,McLaren,Coulthard,British,2
Australian Grand Prix,2001,Ferrari,Barrichello,Brazilian,3
Australian Grand Prix,2001,Sauber,Heidfeld,German,4
Australian Grand Prix,2001,Jordan,Frentzen,German,5
Australian Grand Prix,2001,Sauber,Räikkönen,Finnish,6
Australian Grand Prix,2001,BAR,Panis,French,7
Australian Grand Prix,2001,Jaguar,Burti,Brazilian,8
Australian Grand Prix,2001,Prost,Alesi,French,9
Australian Grand Prix,2001,Arrows,Verstappen,Dutch,10
Australian Grand Prix,2001,Jaguar,Irvine,British,11
Australian Grand Prix,2001,Minardi,Alonso,Spanish,12
Australian Grand Prix,2001,Benetton,Fisichella,Italian,13
Australian Grand Prix,2001,Benetton,Button,British,14
Australian Grand Prix,2001,Williams,Pablo Montoya,Colombian,15
Australian Grand Prix,2001,Jordan,Trulli,Italian,16
Australian Grand Prix,2001,McLaren,Häkkinen,Finnish,17
Australian Grand Prix,2001,Williams,Schumacher,German,18
Australian Grand Prix,2001,BAR,Villeneuve,Canadian,19
Australian Grand Prix,2001,Minardi,Marques,Brazilian,20
Australian Grand Prix,2001,Arrows,Bernoldi,Brazilian,21
Australian Grand Prix,2001,Prost,Mazzacane,Argentine,22
Malaysian Grand Prix,2001,Ferrari,Schumacher,German,1
Malaysian Grand Prix,2001,Ferrari,Barrichello,Brazilian,2
Malaysian Grand Prix,2001,McLaren,Coulthard,British,3
Malaysian Grand Prix,2001,Jordan,Frentzen,German,4
Malaysian Grand Prix,2001,Williams,Schumacher,German,5
Malaysian Grand Prix,2001,McLaren,Häkkinen,Finnish,6
Malaysian Grand Prix,2001,Arrows,Verstappen,Dutch,7
Malaysian Grand Prix,2001,Jordan,Trulli,Italian,8
Malaysian Grand Prix,2001,Prost,Alesi,French,9
Malaysian Grand Prix,2001,Jaguar,Burti,Brazilian,10
Malaysian Grand Prix,2001,Benetton,Button,British,11
Malaysian Grand Prix,2001,Prost,Mazzacane,Argentine,12
Malaysian Grand Prix,2001,Minardi,Alonso,Spanish,13
Malaysian Grand Prix,2001,Minardi,Marques,Brazilian,14
Malaysian Grand Prix,2001,Benetton,Fisichella,Italian,15
Malaysian Grand Prix,2001,BAR,Villeneuve,Canadian,16
Malaysian Grand Prix,2001,Sauber,Heidfeld,German,17
Malaysian Grand Prix,2001,Arrows,Bernoldi,Brazilian,18
Malaysian Grand Prix,2001,Williams,Pablo Montoya,Colombian,19
Malaysian Grand Prix,2001,Jaguar,Irvine,British,20
Malaysian Grand Prix,2001,BAR,Panis,French,21
Malaysian Grand Prix,2001,Sauber,Räikkönen,Finnish,22
Brazilian Grand Prix,2001,McLaren,Coulthard,British,1
Brazilian Grand Prix,2001,Ferrari,Schumacher,German,2
Brazilian Grand Prix,2001,Sauber,Heidfeld,German,3
Brazilian Grand Prix,2001,BAR,Panis,French,4
Brazilian Grand Prix,2001,Jordan,Trulli,Italian,5
Brazilian Grand Prix,2001,Benetton,Fisichella,Italian,6
Brazilian Grand Prix,2001,BAR,Villeneuve,Canadian,7
Brazilian Grand Prix,2001,Prost,Alesi,French,8
Brazilian Grand Prix,2001,Minardi,Marques,Brazilian,9
Brazilian Grand Prix,2001,Benetton,Button,British,10
Brazilian Grand Prix,2001,Jordan,Frentzen,German,11
Brazilian Grand Prix,2001,Sauber,Räikkönen,Finnish,12
Brazilian Grand Prix,2001,Williams,Schumacher,German,13
Brazilian Grand Prix,2001,Prost,Mazzacane,Argentine,14
Brazilian Grand Prix,2001,Jaguar,Irvine,British,15
Brazilian Grand Prix,2001,Williams,Pablo Montoya,Colombian,16
Brazilian Grand Prix,2001,Arrows,Verstappen,Dutch,17
Brazilian Grand Prix,2001,Jaguar,Burti,Brazilian,18
Brazilian Grand Prix,2001,Minardi,Alonso,Spanish,19
Brazilian Grand Prix,2001,Arrows,Bernoldi,Brazilian,20
Brazilian Grand Prix,2001,Ferrari,Barrichello,Brazilian,21
Brazilian Grand Prix,2001,McLaren,Häkkinen,Finnish,22
San Marino Grand Prix,2001,Williams,Schumacher,German,1
San Marino Grand Prix,2001,McLaren,Coulthard,British,2
San Marino Grand Prix,2001,Ferrari,Barrichello,Brazilian,3
San Marino Grand Prix,2001,McLaren,Häkkinen,Finnish,4
San Marino Grand Prix,2001,Jordan,Trulli,Italian,5
San Marino Grand Prix,2001,Jordan,Frentzen,German,6
San Marino Grand Prix,2001,Sauber,Heidfeld,German,7
San Marino Grand Prix,2001,BAR,Panis,French,8
San Marino Grand Prix,2001,Prost,Alesi,French,9
San Marino Grand Prix,2001,Arrows,Bernoldi,Brazilian,10
San Marino Grand Prix,2001,Jaguar,Burti,Brazilian,11
San Marino Grand Prix,2001,Benetton,Button,British,12
San Marino Grand Prix,2001,Minardi,Marques,Brazilian,13
San Marino Grand Prix,2001,Williams,Pablo Montoya,Colombian,14
San Marino Grand Prix,2001,Jaguar,Irvine,British,15
San Marino Grand Prix,2001,Benetton,Fisichella,Italian,16
San Marino Grand Prix,2001,BAR,Villeneuve,Canadian,17
San Marino Grand Prix,2001,Prost,Mazzacane,Argentine,18
San Marino Grand Prix,2001,Ferrari,Schumacher,German,19
San Marino Grand Prix,2001,Sauber,Räikkönen,Finnish,20
San Marino Grand Prix,2001,Arrows,Verstappen,Dutch,21
San Marino Grand Prix,2001,Minardi,Alonso,Spanish,22
Spanish Grand Prix,2001,Ferrari,Schumacher,German,1
Spanish Grand Prix,2001,Williams,Pablo Montoya,Colombian,2
Spanish Grand Prix,2001,BAR,Villeneuve,Canadian,3
Spanish Grand Prix,2001,Jordan,Trulli,Italian,4
Spanish Grand Prix,2001,McLaren,Coulthard,British,5
Spanish Grand Prix,2001,Sauber,Heidfeld,German,6
Spanish Grand Prix,2001,BAR,Panis,French,7
Spanish Grand Prix,2001,Sauber,Räikkönen,Finnish,8
Spanish Grand Prix,2001,McLaren,Häkkinen,Finnish,9
Spanish Grand Prix,2001,Prost,Alesi,French,10
Spanish Grand Prix,2001,Prost,Burti,Brazilian,11
Spanish Grand Prix,2001,Arrows,Verstappen,Dutch,12
Spanish Grand Prix,2001,Minardi,Alonso,Spanish,13
Spanish Grand Prix,2001,Benetton,Fisichella,Italian,14
Spanish Grand Prix,2001,Benetton,Button,British,15
Spanish Grand Prix,2001,Minardi,Marques,Brazilian,16
Spanish Grand Prix,2001,Ferrari,Barrichello,Brazilian,17
Spanish Grand Prix,2001,Jaguar,Irvine,British,18
Spanish Grand Prix,2001,Williams,Schumacher,German,19
Spanish Grand Prix,2001,Arrows,Bernoldi,Brazilian,20
Spanish Grand Prix,2001,Jaguar,de la Rosa,Spanish,21
Spanish Grand Prix,2001,Jordan,Frentzen,German,22
Austrian Grand Prix,2001,McLaren,Coulthard,British,1
Austrian Grand Prix,2001,Ferrari,Schumacher,German,2
Austrian Grand Prix,2001,Ferrari,Barrichello,Brazilian,3
Austrian Grand Prix,2001,Sauber,Räikkönen,Finnish,4
Austrian Grand Prix,2001,BAR,Panis,French,5
Austrian Grand Prix,2001,Arrows,Verstappen,Dutch,6
Austrian Grand Prix,2001,Jaguar,Irvine,British,7
Austrian Grand Prix,2001,BAR,Villeneuve,Canadian,8
Austrian Grand Prix,2001,Sauber,Heidfeld,German,9
Austrian Grand Prix,2001,Prost,Alesi,French,10
Austrian Grand Prix,2001,Prost,Burti,Brazilian,11
Austrian Grand Prix,2001,Benetton,Button,British,12
Austrian Grand Prix,2001,Jaguar,de la Rosa,Spanish,13
Austrian Grand Prix,2001,Williams,Pablo Montoya,Colombian,14
Austrian Grand Prix,2001,Minardi,Alonso,Spanish,15
Austrian Grand Prix,2001,Minardi,Marques,Brazilian,16
Austrian Grand Prix,2001,Arrows,Bernoldi,Brazilian,17
Austrian Grand Prix,2001,Jordan,Trulli,Italian,18
Austrian Grand Prix,2001,Williams,Schumacher,German,19
Austrian Grand Prix,2001,Benetton,Fisichella,Italian,20
Austrian Grand Prix,2001,McLaren,Häkkinen,Finnish,21
Austrian Grand Prix,2001,Jordan,Frentzen,German,22
Monaco Grand Prix,2001,Ferrari,Schumacher,German,1
Monaco Grand Prix,2001,Ferrari,Barrichello,Brazilian,2
Monaco Grand Prix,2001,Jaguar,Irvine,British,3
Monaco Grand Prix,2001,BAR,Villeneuve,Canadian,4
Monaco Grand Prix,2001,McLaren,Coulthard,British,5
Monaco Grand Prix,2001,Prost,Alesi,French,6
Monaco Grand Prix,2001,Benetton,Button,British,7
Monaco Grand Prix,2001,Arrows,Verstappen,Dutch,8
Monaco Grand Prix,2001,Arrows,Bernoldi,Brazilian,9
Monaco Grand Prix,2001,Sauber,Räikkönen,Finnish,10
Monaco Grand Prix,2001,Williams,Schumacher,German,11
Monaco Grand Prix,2001,Minardi,Marques,Brazilian,12
Monaco Grand Prix,2001,Minardi,Alonso,Spanish,13
Monaco Grand Prix,2001,Jordan,Frentzen,German,14
Monaco Grand Prix,2001,Benetton,Fisichella,Italian,15
Monaco Grand Prix,2001,Jordan,Trulli,Italian,16
Monaco Grand Prix,2001,Prost,Burti,Brazilian,17
Monaco Grand Prix,2001,Jaguar,de la Rosa,Spanish,18
Monaco Grand Prix,2001,McLaren,Häkkinen,Finnish,19
Monaco Grand Prix,2001,BAR,Panis,French,20
Monaco Grand Prix,2001,Williams,Pablo Montoya,Colombian,21
Monaco Grand Prix,2001,Sauber,Heidfeld,German,22
Canadian Grand Prix,2001,Williams,Schumacher,German,1
Canadian Grand Prix,2001,Ferrari,Schumacher,German,2
Canadian Grand Prix,2001,McLaren,Häkkinen,Finnish,3
Canadian Grand Prix,2001,Sauber,Räikkönen,Finnish,4
Canadian Grand Prix,2001,Prost,Alesi,French,5
Canadian Grand Prix,2001,Jaguar,de la Rosa,Spanish,6
Canadian Grand Prix,2001,Jordan,Zonta,Brazilian,7
Canadian Grand Prix,2001,Prost,Burti,Brazilian,8
Canadian Grand Prix,2001,Minardi,Marques,Brazilian,9
Canadian Grand Prix,2001,Arrows,Verstappen,Dutch,10
Canadian Grand Prix,2001,Jordan,Trulli,Italian,11
Canadian Grand Prix,2001,McLaren,Coulthard,British,12
Canadian Grand Prix,2001,BAR,Panis,French,13
Canadian Grand Prix,2001,BAR,Villeneuve,Canadian,14
Canadian Grand Prix,2001,Arrows,Bernoldi,Brazilian,15
Canadian Grand Prix,2001,Williams,Pablo Montoya,Colombian,16
Canadian Grand Prix,2001,Ferrari,Barrichello,Brazilian,17
Canadian Grand Prix,2001,Benetton,Button,British,18
Canadian Grand Prix,2001,Minardi,Alonso,Spanish,19
Canadian Grand Prix,2001,Sauber,Heidfeld,German,20
Canadian Grand Prix,2001,Jaguar,Irvine,British,21
Canadian Grand Prix,2001,Benetton,Fisichella,Italian,22
European Grand Prix,2001,Ferrari,Schumacher,German,1
European Grand Prix,2001,Williams,Pablo Montoya,Colombian,2
European Grand Prix,2001,McLaren,Coulthard,British,3
European Grand Prix,2001,Williams,Schumacher,German,4
European Grand Prix,2001,Ferrari,Barrichello,Brazilian,5
European Grand Prix,2001,McLaren,Häkkinen,Finnish,6
